CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1251131,TT Thêu trang trí,1,DH,NC,651,
1251140,Thêu công nghiệp,2,DH,NC,651,Industrial Embroidery
1251141,TT Thêu công nghiệp,1,DH,NC,651,Industrial Embroidery Pratice
1251151,Thiết kế trang phục1(AP nữ+TM),4,DH,NC,651,
1251152,Thiết kế trang phục 2 (AP nam),2,DH,NC,651,Costume Design 2
1251153,Thiết kế trang phục 3 (áo gió),1,DH,NC,651,
1251154,Thiết kế trang phục 2 (K.08),3,DH,NC,651,Costume Design 2
1251160,Âu phục nam,2,DH,NC,651,Menswear
1251171,Thiết kế trang phục 1(APnữ+TM),3,DH,NC,651,Costume Design 1
1251173,Tkế trang phục 3 (Veston+Vest),2,DH,NC,651,Costume Design 3
1251174,Thiết kế trang phục 4 (YPTT),2,DH,NC,651,Costume Design 4
1251175,Thiết kế trang phục 5,4,DH,NC,651,Costume Design 5
1251176,Thiết kế trang phục 6 (áo gió),1,DH,NC,651,Costume Design 6
1251177,Thiết kế trang phục 4 (K.08),3,DH,NC,651,Costume Design 4
1251180,Veston B,2,DH,NC,651,
1251183,Tkế trang phục 3 (Veston+Vest),3,DH,NC,651,
1251184,Thiết kế trang phục 4 (YPTT),3,DH,NC,651,Costume Design 4
1251190,Thiết kế quần áo bảo hộ L.Động,1,DH,NC,651,Design of Safety Work Clothes
1251191,Đồ án Thiết kế xưởng (CNM),1,DH,NC,651,Workshop Design Project
1251192,Quản lý đơn hàng,2,DH,NC,651,Order Management
1251193,Quản lý sản xuất trên vi tính,2,DH,NC,651,Computer-Aided Production Management
1251194,T.Kế quần áo bảo hộ L.Động(K08,2,DH,NC,651,Design of Safety Work Clothes
1251200,Thời trang Đông phương,2,DH,NC,651,Eastern Fashion
1251210,Âu phục nữ,2,DH,NC,651,Womenswear
1251211,Âu phục nữ (K.08),3,DH,NC,651,Womenswear
1251220,Đan móc,2,DH,NC,651,Knitting
1251230,Mỹ dung,1,DH,NC,651,Beauty
1251240,Giác sơ đồ trên máy vi tính,1,DH,NC,651,
1251250,An toàn CN và môi trường,1,DH,NC,651,Industrial Safety & Environment
1251260,Cắm kết hoa,1,DH,NC,651,
1251261,Kỹ thuật trang trí hoa,1,DH,NC,651,Flower Arrangement Technique
1251270,Tạo mẫu,1,DH,NC,651,Pattern Making
1251280,Tạo mẫu (TKT),2,DH,NC,651,Pattern Making
1251290,Quản trị gia đình,2,DH,NC,651,Home Management
